id,title,title_doiorg,title_openalex,authors,authors_doiorg,authors_openalex,authors_count_doiorg,authors_count_openalex,venue,year,abstract_doiorg,abstract_openalex,abstract_semantic,tldr,primary_topic,keywords,concepts,reference_count,citation_count,is_open_access,Label
1009,A Method for Goal-Oriented Guideline Modeling in PROforma and Its Preliminary Evaluation.,A Method for Goal-Oriented Guideline Modeling in PROforma and Its Preliminary Evaluation,A Method for Goal-Oriented Guideline Modeling in PROforma and Its Preliminary Evaluation,"Mor Peleg, Alexandra Kogan, Samson W. Tu","Mor Peleg, Alexandra Kogan, Samson W. Tu","Mor Peleg, Alexandra Kogan, Samson W. Tu",3,3,kr,2019,,,,"This study developed a method for specifying metaproperty annotations within PROforma CIGs and positioned this specification step within an existing method for CIG knowledge elicitation/specification, known as the Consensus method.",Chronic Disease Management Strategies,"Guideline, Computer science, Medicine, Pathology","Guideline, Computer science, Medicine, Pathology",9,0,False,2
1010,A Computational Framework for Interpretable Anomaly Detection and Classification of Multivariate Time Series with Application to Human Gait Data Analysis.,A Computational Framework for Interpretable Anomaly Detection and Classification of Multivariate Time Series with Application to Human Gait Data Analysis,A Computational Framework for Interpretable Anomaly Detection and Classification of Multivariate Time Series with Application to Human Gait Data Analysis,"Erica Ramirez, Markus Wimmer, Martin Atzmueller","Erica Ramirez, Markus Wimmer, Martin Atzmueller","Erica Ramirez, Markus A. Wimmer, Martin Atzmueller",3,3,kr,2019,,,,Analytical approaches in a framework for interpretable anomaly detection and classification of multivariate time series for human gait analysis and exemplify the application utilizing a real-world medical dataset in the biomechanical orthopedics domain.,Time Series Analysis and Forecasting,"Computer science, Gait, Anomaly detection, Multivariate statistics, Gait analysis, Time series, Artificial intelligence, Domain (mathematical analysis), Series (stratigraphy), Data mining, Time domain, Pattern recognition (psychology), Anomaly (physics), Machine learning, Computer vision, Physical medicine and rehabilitation, Mathematics","Computer science, Gait, Anomaly detection, Multivariate statistics, Gait analysis, Time series, Artificial intelligence, Domain (mathematical analysis), Series (stratigraphy), Data mining, Time domain, Pattern recognition (psychology), Anomaly (physics), Machine learning, Computer vision, Physical medicine and rehabilitation, Mathematics, Condensed matter physics, Physics, Biology, Medicine, Paleontology, Mathematical analysis",33,0,False,4
1012,A Computational Framework Towards Medical Image Explanation.,A Computational Framework Towards Medical Image Explanation,A Computational Framework Towards Medical Image Explanation,,"Xuwen Wang, Yu Zhang, Zhen Guo, Jiao Li","Xuwen Wang, Yu Zhang, Zhen Guo, Jiao Li",4,4,kr,2019,,,,"There is still a great challenge to produce medical image interpretations clinically usable, and further research is needed to empower machines explaining medical images like a human being.",Multimodal Machine Learning Applications,"Computer science, USable, Medical imaging, Artificial intelligence, Image (mathematics), Embedding, Computer vision, Multimedia","Computer science, USable, Medical imaging, Artificial intelligence, Image (mathematics), Embedding, Computer vision, Multimedia",29,0,False,5
1014,Evaluation of the ECDSA IHP Hardware Accelerator.,Evaluation of the ECDSA IHP Hardware Accelerator,Evaluation of the ECDSA IHP Hardware Accelerator,", Yasuhiro Atsuhiko","Marcin Aftowicz, Dan Klann, Ievgen Kabin, Zoya Dyka, Peter Langendörfer","Marcin Aftowicz, Dan Klann, Ievgen Kabin, Zoya Dyka, Peter Langendörfer",5,5,kr,2019,,,,,Parallel Computing and Optimization Techniques,"Computer science, Elliptic Curve Digital Signature Algorithm, Embedded system, Computer hardware, Operating system, Public-key cryptography, Encryption, Elliptic curve cryptography","Computer science, Elliptic Curve Digital Signature Algorithm, Embedded system, Computer hardware, Operating system, Public-key cryptography, Encryption, Elliptic curve cryptography",0,0,False,1
1015,Methodology Design for Dynamic Test Method Generation via Existing Module Tests.,Methodology Design for Dynamic Test Method Generation via Existing Module Tests,Methodology Design for Dynamic Test Method Generation via Existing Module Tests,,"Lisa Aichele, Christopher Huth","Lisa Aichele, Christopher Huth",2,2,kr,2019,,,,,Software Testing and Debugging Techniques,"Computer science, Test (biology), Reliability engineering, Engineering","Computer science, Test (biology), Reliability engineering, Engineering, Biology, Paleontology",0,0,False,4
1016,Applying Differential Privacy to Machine Learning: Challenges and Potentials.,Applying Differential Privacy to Machine Learning: Challenges and Potentials,Applying Differential Privacy to Machine Learning: Challenges and Potentials,Zhenshan Wu,Franziska Boenisch,Franziska Boenisch,1,1,kr,2019,,,,,Privacy-Preserving Technologies in Data,"Differential privacy, Computer science, Internet privacy, Artificial intelligence, Computer security, Machine learning, Data mining","Differential privacy, Computer science, Internet privacy, Artificial intelligence, Computer security, Machine learning, Data mining",0,0,False,5
1017,Transputation: Transport Framework for Secure Computation.,Transputation: Transport Framework for Secure Computation,Transputation: Transport Framework for Secure Computation,"Markus Brandt, Claudio Orlandi, Kris Shrishak, Haya Shulman","Markus Brandt, Claudio Orlandi, Kris Shrishak, Haya Shulman","Markus Brandt, Claudio Orlandi, Kris Shrishak, Haya Shulman",4,4,kr,2019,,,,This work explores two main issues in the performance of Secure Two-Party Computation (2PC): interaction and networking.,Cryptography and Data Security,"Computer science, Computation, Algorithm","Computer science, Computation, Algorithm",5,0,False,3
1018,Internet As a Source of Randomness.,Internet As a Source of Randomness,Internet As a Source of Randomness,"Markus Brandt, Haya Shulman, Michael Waidner","Markus Brandt, Haya Shulman, Michael Waidner","Markus Brandt, Haya Shulman, Michael Waidner",3,3,kr,2019,,"Pseudorandom Generators (PRGs) play an important role in security of systems and cryptographic mechanisms. Yet, there is a long history of vulnerabilities in practical PRGs.","Pseudorandom Generators (PRGs) play an important role in security of systems and cryptographic mechanisms. Yet, there is a long history of vulnerabilities in practical PRGs. Significant efforts in the theoretical and practical research communities are invested to improve the security of PRGs, to identify faults in entropy sources, and to detect vulnerabilities allowing attacks against the PRGs. In this work we take an alternative approach at the pseudorandomness generation problem. We design and implement Network Pseudorandomness Collector (NPC) which collects pseudorandom strings from servers in the Internet. NPC does not require cooperation nor synchronisation of those servers. NPC is easy to use and integrate into the existing systems. We analyse the security of NPC and show how it addresses the main factors behind the vulnerabilities in current PRGs. Further, we perform extensive simulations on empirically derived datasets that validate the security of NPC against attacks by realistic Man-in-the-Middle (MitM) attackers.",This work designs and implements Network Pseudorandomness Collector (NPC) which collects pseudorandom strings from servers in the Internet and analyses the security of NPC and shows how it addresses the main factors behind the vulnerabilities in current PRGs.,Chaos-based Image/Signal Encryption,"Randomness, Computer science, Cryptography, Pseudorandom number generator, Computer security, The Internet, Pseudorandomness, World Wide Web, Algorithm, Mathematics","Randomness, Computer science, Cryptography, Pseudorandom number generator, Computer security, The Internet, Pseudorandomness, World Wide Web, Algorithm, Mathematics, Statistics",45,0,False,4
1019,Distributed Domain Validation (DDV).,Distributed Domain Validation (DDV),Distributed Domain Validation (DDV),,"Markus Brandt, Haya Shulman, Michael Waidner","Markus Brandt, Haya Shulman, Michael Waidner",3,3,kr,2019,,,,,Machine Learning and Data Classification,"Domain (mathematical analysis), Computer science, Mathematics","Domain (mathematical analysis), Computer science, Mathematics, Mathematical analysis",0,0,False,2
1020,Security Overview on Secure Encrypted Virtualization.,Security Overview on Secure Encrypted Virtualization,Security Overview on Secure Encrypted Virtualization,"Mengyuan Li, Yinqian Zhang, Huibo Wang, Kang Li, Yueqiang Cheng",Robert Buhren,Robert Buhren,1,1,kr,2019,,,,,Network Security and Intrusion Detection,"Encryption, Computer science, Virtualization, Computer security, Operating system, Cloud computing","Encryption, Computer science, Virtualization, Computer security, Operating system, Cloud computing",0,0,False,1
1022,Towards Quantum-resistant Virtual Private Networks.,Towards Quantum-resistant Virtual Private Networks,Towards Quantum-resistant Virtual Private Networks,"David Schatz, Friedrich Altheide, Hedwig Koerfgen, Michael Rossberg, Guenter Schaefer","Joo Cho, Stefan-Lukas Gazdag, Alexander von Gernler, Helmut Grießer, Sophia Grundner-Culemann, Tobias Guggemos, Tobias Heider, Daniel Loebenberger","Joo Cho, Stefan-Lukas Gazdag, Alexander von Gernler, Helmut Grießer, Sophia Grundner-Culemann, Tobias Guggemos, Tobias Heider, Daniel Loebenberger",8,8,kr,2019,,,,An overview of existing quantum-resistant key exchange methods and their integration into the IKEv2 protocol to defy future quantum-based attacks and the progress in the NIST standardization efforts are discussed.,Quantum Computing Algorithms and Architecture,"Private network, Business, Computer science, Quantum, Computer security, Physics, Quantum mechanics","Private network, Business, Computer science, Quantum, Computer security, Physics, Quantum mechanics",11,0,False,1
1023,Securing DNSSEC Keys via Threshold ECDSA From Generic MPC.,Securing DNSSEC Keys via Threshold ECDSA from Generic MPC,Securing DNSSEC Keys via Threshold ECDSA from Generic MPC,"Anders Dalskov, Claudio Orlandi, Marcel Keller, Kris Shrishak, Haya Shulman","Anders Dalskov, Claudio Orlandi, Marcel Keller, Kris Shrishak, Haya Shulman","Anders Dalskov, Claudio Orlandi, Marcel Keller, Kris Shrishak, Haya Shulman",5,5,kr,2019,,,,"Deployment of DNSSEC, although increasing, still suffers from many practical issues that results in a false sense of security, making the operator an attractive target for attackers.",Cryptography and Data Security,"Computer science, Elliptic Curve Digital Signature Algorithm, Overhead (engineering), Key (lock), Protocol (science), Computer security, Operator (biology), Public-key cryptography, Encryption, Elliptic curve cryptography, Operating system","Computer science, Elliptic Curve Digital Signature Algorithm, Overhead (engineering), Key (lock), Protocol (science), Computer security, Operator (biology), Public-key cryptography, Encryption, Elliptic curve cryptography, Operating system, Chemistry, Alternative medicine, Biochemistry, Medicine, Gene, Transcription factor, Pathology, Repressor",79,0,False,1
1025,Analyzing power consumption of TLS ciphers on an ESP32.,Analyzing power consumption of TLS ciphers on an ESP32,Analyzing power consumption of TLS ciphers on an ESP32,"Hasan Demir, Ilayda Selcuk, Atıl Emre Cosgun","Tilo Fischer, Hendrik Linka, Michael Rademacher, Karl Jonas, Daniel Loebenberger","Tilo Fischer, Hendrik Linka, Michael Rademacher, Karl Jonas, Daniel Loebenberger",5,5,kr,2019,,,,,Green IT and Sustainability,"Computer security, Consumption (sociology), Computer science, Power consumption, Power (physics), Art, Physics","Computer security, Consumption (sociology), Computer science, Power consumption, Power (physics), Art, Physics, Aesthetics, Quantum mechanics",10,0,False,1
1026,Horizontal SCA Attack using Machine Learning Algorithms.,Horizontal SCA Attack using Machine Learning Algorithms,Horizontal SCA Attack using Machine Learning Algorithms,,"Ievgen Kabin, Marcin Aftowicz, Dan Klann, Yauhen Varabei, Zoya Dyka, Peter Langendoerfer","Ievgen Kabin, Marcin Aftowicz, Dan Klann, Yauhen Varabei, Zoya Dyka, Peter Langendöerfer",6,6,kr,2019,,,,This work uses the k-means algorithm to conduct several types of horizontal attacks against the authors' two kP designs with and without countermeasures and provides a comparison of these attacks with a traditional approach based on a Pearson correlation analysis and the diﬀerence of the mean.,Cryptographic Implementations and Security,"Computer science, Algorithm, Artificial intelligence, Computer vision","Computer science, Algorithm, Artificial intelligence, Computer vision",4,0,False,2
1027,ECC Based Secure Authentication Solutions.,ECC Based Secure Authentication Solutions,ECC Based Secure Authentication Solutions,"Suchi Johari, M. Bala Krishna","Ievgen Kabin, Zoya Dyka, Dan Klann, Peter Langendoerfer","Ievgen Kabin, Zoya Dyka, Dan Klann, Peter Langendöerfer",4,4,kr,2019,,,,,Cryptography and Residue Arithmetic,"Authentication (law), Computer security, Computer science, Password, Internet privacy, Business","Authentication (law), Computer security, Computer science, Password, Internet privacy, Business",5,0,False,1
1028,Welcome to Mozilla.,Welcome to Mozilla,Welcome to Mozilla,,Franziskus Kiefer,Franziskus Kiefer,1,1,kr,2019,,,,,Diverse Scientific and Economic Studies,Computer science,Computer science,0,0,False,1
1029,Crypto (engineering) at Mozilla.,Crypto (engineering) at Mozilla,Crypto (engineering) at Mozilla,,Franziskus Kiefer,Franziskus Kiefer,1,1,kr,2019,,,,,Computational Physics and Python Applications,Computer science,Computer science,0,0,False,1
1030,A Dinosaurs view on Blockchains.,A Dinosaurs view on Blockchains,A Dinosaurs view on Blockchains,J. Horner,Klaus Kursawe,Klaus Kursawe,1,1,kr,2019,,,,,Blockchain Technology Applications and Security,"Geology, Paleontology, Computer science","Geology, Paleontology, Computer science",0,0,False,1
1031,Using machine learning techniques for hardware performance counter classification and ROP attack detection.,Using machine learning techniques for hardware performance counter classification and ROP attack detection,Using machine learning techniques for hardware performance counter classification and ROP attack detection,"Lukáš Kotlaba, Simona Buchovecká, Róbert Lórencz","Kai Lehniger, Yauhen Varabei, Marcin Aftowicz, Seyed Ehsan Hashemi Rastegar, Zoya Dyka, Peter Langendörfer","Kai Lehniger, Yauhen Varabei, Marcin Aftowicz, Seyed Ehsan Hashemi Rastegar, Zoya Dyka, Peter Langendörfer",6,6,kr,2019,,,,,Physical Unclonable Functions (PUFs) and Hardware Security,"Computer science, Machine learning, Artificial intelligence, Computer hardware","Computer science, Machine learning, Artificial intelligence, Computer hardware",0,0,False,3
1033,Applied post-quantum cryptography for embedded systems.,Applied post-quantum cryptography for embedded systems,Applied post-quantum cryptography for embedded systems,"Olaf Grote, Andreas Ahrens, César Benavente-Peces",Soundes Marzougui,Soundes Marzougui,1,1,kr,2019,,,,"This paper presents a meta-analyses of Grover’s or Shor algorithms and shows how these algorithms can be used to break conventional digital signature schemes, which puts embedded systems at risk.",Chaos-based Image/Signal Encryption,"Quantum cryptography, Cryptography, Computer science, Computer security, Theoretical computer science, Quantum, Physics, Quantum information, Quantum mechanics","Quantum cryptography, Cryptography, Computer science, Computer security, Theoretical computer science, Quantum, Physics, Quantum information, Quantum mechanics",3,0,False,1
1034,"Towards a central, distributed and secure default cryptography parameter set.","Towards a central, distributed and secure default cryptography parameter set","Towards a central, distributed and secure default cryptography parameter set",,"Kai Mindermann, Stefan Wagner","Kai Mindermann, Stefan Wagner",2,2,kr,2019,,,,,Chaos-based Image/Signal Encryption,"Cryptography, Computer science, Set (abstract data type), Computer security, Theoretical computer science, Programming language","Cryptography, Computer science, Set (abstract data type), Computer security, Theoretical computer science, Programming language",0,0,False,1
1035,ICRC: Instant Certificate Revocation Checking using Blockchain-backed Bloom Filters.,ICRC: Instant Certificate Revocation Checking using Blockchain-backed Bloom Filters,ICRC: Instant Certificate Revocation Checking using Blockchain-backed Bloom Filters,"Qinwen Hu, Muhammad Rizwan Asghar, Nevil Brownlee","Vinothkumar Nagasayanan, Elias Rohrer, Florian Tschorsch","Vinothkumar Nagasayanan, Elias Rohrer, Florian Tschorsch",3,3,kr,2019,,,,,Cryptography and Data Security,"Blockchain, Bloom filter, Certificate, Computer science, Computer security, Revocation, Revocation list, Instant, Public key certificate, Computer network, Programming language, Public-key cryptography, Algorithm, Encryption","Blockchain, Bloom filter, Certificate, Computer science, Computer security, Revocation, Revocation list, Instant, Public key certificate, Computer network, Programming language, Public-key cryptography, Algorithm, Encryption, Physics, Overhead (engineering), Quantum mechanics",0,0,False,1
1036,Edge computing devices assessment for cryptography and biomedical signal analysis.,Edge computing devices assessment for cryptography and biomedical signal analysis,Edge computing devices assessment for cryptography and biomedical signal analysis,"Devajit Das, Debojit Boro","Roman Natarov, Yauhen Varabei, Ievgen Kabin, Zoya Dyka, Peter Langendörfer","R. Natarov, Yauhen Varabei, Ievgen Kabin, Zoya Dyka, Peter Langendörfer",5,5,kr,2019,,,,,Big Data and Digital Economy,"Computer science, Cryptography, Computer security, Theoretical computer science","Computer science, Cryptography, Computer security, Theoretical computer science",0,0,False,1
1037,SLIDEDroid: A Secure Lightweight Identity for the Android Platform.,SLIDEDroid: A Secure Lightweight Identity for the Android Platform,SLIDEDroid: A Secure Lightweight Identity for the Android Platform,Golla Nikhil Yadav,"Tim Ohlendorf, Wolfgang Studier, Marian Margraf","Tim Ohlendorf, Wolfgang Studier, Marian Margraf",3,3,kr,2019,,,,,Advanced Malware Detection Techniques,"Android (operating system), Computer security, Computer science, Internet privacy, Identity (music), World Wide Web, Operating system, Art","Android (operating system), Computer security, Computer science, Internet privacy, Identity (music), World Wide Web, Operating system, Art, Aesthetics",4,0,False,1
1038,Anatomy of Commercial IMSI Catchers and Detectors.,,Anatomy of Commercial IMSI Catchers and Detectors,"Shinjo Park, Altaf Shaik, Ravishankar Borgaonkar, Jean-Pierre Seifert",,"Shinjo Park, Altaf Shaik, Ravishankar Borgaonkar, Jean‐Pierre Seifert",0,4,kr,2019,,IMSI catchers threaten the privacy of mobile phone users by identifying and tracking them. Commercial IMSI catcher products exploit vulnerabilities in cellular network security standards to lure nearby mobile devices. Commercial IMSI catcher's technical capabilities and operational details are still kept as a secret and unclearly presented due to the lack of access to these products from the research perspective.,"IMSI catchers threaten the privacy of mobile phone users by identifying and tracking them. Commercial IMSI catcher products exploit vulnerabilities in cellular network security standards to lure nearby mobile devices. Commercial IMSI catcher's technical capabilities and operational details are still kept as a secret and unclearly presented due to the lack of access to these products from the research perspective. On the other hand, there are several solutions to detect such IMSI catchers to protect the privacy of mobile subscribers. However, detecting IMSI catchers effectively on commercial smartphones is still a challenge. In this paper, we present a systematic study of IMSI catchers, especially commercially available ones. Starting from publicly available product brochures, we analyze information from the international patent databases, attacking techniques used by them and vulnerabilities exploited in cellular networks (2G, 3G, and 4G). To this end, we survey IMSI catcher detection techniques and their limitations. Finally, we provide insights that we believe help guide the development of more effective and efficient IMSI catcher detection techniques.","A systematic study of IMSI catchers, especially commercially available ones, is presented, starting from publicly available product brochures, and attacking techniques used by them and vulnerabilities exploited in cellular networks (2G, 3G, and 4G).",User Authentication and Security Systems,"Exploit, Computer security, Computer science, Perspective (graphical), Mobile phone, Internet privacy, Telecommunications, Artificial intelligence","Exploit, Computer security, Computer science, Perspective (graphical), Mobile phone, Internet privacy, Telecommunications, Artificial intelligence",98,0,False,1
1039,Introduction to QPSI - Who we are and what we do Hardware.,Introduction to QPSI - Who we are and what we do Hardware,Introduction to QPSI - Who we are and what we do Hardware,,Marcel Selhorst,Marcel Selhorst,1,1,kr,2019,,,,,Embedded Systems Design Techniques,Computer science,Computer science,0,0,False,1
1040,On the Impact of the Sampling Rate on the Success of Horizontal DEMA Attack.,On the Impact of the Sampling Rate on the Success of Horizontal DEMA Attack,On the Impact of the Sampling Rate on the Success of Horizontal DEMA Attack,,"Alejandro Sosa, Ievgen Kabin, Zoya Dyka, Dan Klann, Peter Langendörfer","Alejandro Sosa, Ievgen Kabin, Zoya Dyka, Dan Klann, Peter Langendörfer",5,5,kr,2019,,,,This attack results represent a ﬁrst attempt to evaluate the impact of the sampling rate of the measurements on the success of horizontal SCA attack against an ECC implementation and investigate the inﬂuence of the applied sampling rate on the correctness of the key revealed.,Cryptographic Implementations and Security,"Sampling (signal processing), Computer science, Computer vision, Filter (signal processing)","Sampling (signal processing), Computer science, Computer vision, Filter (signal processing)",2,0,False,1
1041,Intelligent Clustering as a Means to Improve K-means Based Horizontal Attacks.,Intelligent Clustering as a Means to Improve K-means Based Horizontal Attacks,Intelligent Clustering as a Means to Improve K-means Based Horizontal Attacks,"Yauhen Varabei, Ievgen Kabin, Zoya Dyka, Dan Klann, Peter Langendoerfer","Yauhen Varabei, Ievgen Kabin, Zoya Dyka, Dan Klann, Peter Langendoerfer","Yauhen Varabei, Ievgen Kabin, Zoya Dyka, Dan Klann, Peter Langendöerfer",5,5,kr,2019,,Machine learning approaches have a high potential for improving the success rate of side channel analysis attacks. In this paper we present horizontal side channel analysis attacks against three crypto-implementations suffering from different levels of leakage using a single power and a single electromagnetic trace. We show the effectivity of attacks using k-means as analysis tool. In addition we introduce a new approach that we call intelligent clustering that enables attackers to select the start centroids in such a way that the ability of k-means to extract the key bits is increased up to 38.56 % compared to k-means starting the farthest neighbors centroids and up to 66.66 % compared to the mean correctness for k-means starting with random centroids.,Machine learning approaches have a high potential for improving the success rate of side channel analysis attacks. In this paper we present horizontal side channel analysis attacks against three crypto-implementations suffering from different levels of leakage using a single power and a single electromagnetic trace. We show the effectivity of attacks using $k-means$ as analysis tool. In addition we introduce a new approach that we call intelligent clustering that enables attackers to select the start centroids in such a way that the ability of $k-means$ to extract the key bits is increased up to 38.56 % compared to $k-means$ starting the farthest neighbors centroids and up to 66.66 % compared to the mean correctness for $k-means$ starting with random centroids.,,Cryptographic Implementations and Security,"Correctness, Centroid, Cluster analysis, Computer science, Side channel attack, k-means clustering, Key (lock), TRACE (psycholinguistics), Data mining, Artificial intelligence, Algorithm, Cryptography, Computer security","Correctness, Centroid, Cluster analysis, Computer science, Side channel attack, k-means clustering, Key (lock), TRACE (psycholinguistics), Data mining, Artificial intelligence, Algorithm, Cryptography, Computer security, Philosophy, Linguistics",13,0,False,4
1043,XOR Arbiter PUFs: an Empirical Approach to Input Transformations.,XOR Arbiter PUFs: an Empirical Approach to Input Transformations,XOR Arbiter PUFs: an Empirical Approach to Input Transformations,Nils Wisiol,Nils Wisiol,Nils Wisiol,1,1,kr,2019,,,,,Manufacturing Process and Optimization,"Arbiter, Computer science, Programming language, Arithmetic, Mathematics, Parallel computing","Arbiter, Computer science, Programming language, Arithmetic, Mathematics, Parallel computing",0,0,False,1
1044,Towards Secure Strong PUFs.,Towards Secure Strong PUFs,Towards Secure Strong PUFs,Nils Wisiol,Nils Wisiol,Nils Wisiol,1,1,kr,2019,,,,,Physical Unclonable Functions (PUFs) and Hardware Security,"Computer science, Computer security","Computer science, Computer security",0,0,False,1
1045,"Artificial Intelligence in Medicine: Knowledge Representation and Transparent and Explainable Systems - AIME 2019 International Workshops, KR4HC/ProHealth and TEAAM, Poznan, Poland, June 26-29, 2019, Revised Selected Papers",Artificial Intelligence in Medicine: Knowledge Representation and Transparent and Explainable Systems,Artificial Intelligence in Medicine: Knowledge Representation and Transparent and Explainable Systems,"Giorgio Leonardi, Stefania Montani, Manuel Striani",,"AIME 2019 Posen, Mar Marcos, José M. Juárez, Richard Lenz, Grzegorz J. Nalepa, Sławomir Nowaczyk, Mor Peleg, Jerzy Stefanowski, Gregor Štiglic, KR4HC/ProHealth 2019 Posen, TEAAM 2019 Posen",0,11,kr,2019,,,,,Machine Learning in Healthcare,"Computer science, Representation (politics), Knowledge representation and reasoning, Process (computing), Health care, Knowledge management, Business process, Data science, Business intelligence, Information system, Healthcare system, Artificial intelligence, Work in process, Engineering","Computer science, Representation (politics), Knowledge representation and reasoning, Process (computing), Health care, Knowledge management, Business process, Data science, Business intelligence, Information system, Healthcare system, Artificial intelligence, Work in process, Engineering, Economic growth, Operations management, Economics, Operating system, Law, Political science, Electrical engineering, Politics",39,0,True,5
1046,"Proceedings of the 11th Cognitive Robotics Workshop 2018, co-located with 16th International Conference on Principles of Knowledge Representation and Reasoning, CogRob@KR 2018, Tempe, AZ, USA, October 27th, 2018.",,,"Alfredo Cuzzocrea, Francesco Bonchi, Dimitris Gunopulos",,,0,0,kr,2019,,,,,,,,0,0,False,1
1047,"30. Krypto-Tag, Berlin, Germany, March 28-29, 2019",,,,,,0,0,kr,2019,,,,,,,,0,0,False,1
1048,"31. Krypto-Tag, Berlin, Germany, October 17-18, 2019",,,,,,0,0,kr,2019,,,,,,,,0,0,False,1
1049,On Strengthening the Logic of Iterated Belief Revision: Proper Ordinal Interval Operators.,On strengthening the logic of iterated belief revision: Proper ordinal interval operators,On strengthening the logic of iterated belief revision: Proper ordinal interval operators,"Richard Booth, Jake Chandler","Richard Booth, Jake Chandler","Richard Booth, Jake Chandler",2,2,kr,2018,,,"Darwiche and Pearl’s seminal 1997 article outlined a number 
of baseline principles for a logic of iterated belief revision. 
These principles, the DP postulates, have been supplemented 
in a number of alternative ways. Most suggestions have resulted 
in a form of ‘reductionism’ that identifies belief states 
with orderings of worlds. However, this position has recently 
been criticised as being unacceptably strong. Other proposals, 
such as the popular principle (P), aka ‘Independence’, characteristic 
of ‘admissible’ operators, remain commendably more 
modest. In this paper, we supplement the DP postulates and 
(P) with a number of novel conditions. While the DP postulates 
constrain the relation between a prior and a posterior 
conditional belief set, our new principles notably govern 
the relation between two posterior conditional belief sets obtained 
from a common prior by different revisions. We show 
that operators from the resulting family, which subsumes both 
lexicographic and restrained revision, can be represented as 
relating belief states associated with a ‘proper ordinal interval’ 
(POI) assignment, a structure more fine-grained than a 
simple ordering of worlds. We close the paper by noting that 
these operators satisfy iterated versions of many AGM era 
postulates, including Superexpansion, that are not sound for 
admissible operators in general.","It is shown that operators from the resulting family can be represented as relating belief states associated with a ‘proper ordinal interval’ (POI) assignment, a structure more fine-grained than a simple ordering of worlds.","Logic, Reasoning, and Knowledge","Iterated function, Belief revision, Belief structure, Mathematics, Lexicographical order, Pearl, Mathematical economics, Relation (database), Interval (graph theory), Set (abstract data type), Artificial intelligence, Epistemology, Computer science, Combinatorics, Philosophy, Data mining","Iterated function, Belief revision, Belief structure, Mathematics, Lexicographical order, Pearl, Mathematical economics, Relation (database), Interval (graph theory), Set (abstract data type), Artificial intelligence, Epistemology, Computer science, Combinatorics, Philosophy, Data mining, Theology, Mathematical analysis, Programming language",104,0,True,4
1052,Reachability Analysis for Neural Agent-Environment Systems.,,,"Oliver Gates, Matthew Newton, Konstantinos Gatsis",,,0,0,kr,2018,,,,"A novel model for studying agent-environment systems, where the agents are implemented via feed-forward ReLU neural networks is developed, and a semantics and method to verify automatically that no unwanted states are reached by the system during its evolution are developed.",,,,37,0,False,3
1055,Preference Relations by Approximation.,,,Qian Qi,,,0,0,kr,2018,,,,"This work introduces the notion of approximation for replacing preference relations with stronger preference relations, that is, relations comparing more pairs of interpretations, to accelerate the computation of a non-empty subset of the optimal solutions by means of highly specialized algorithms.",,,,21,0,False,4
1056,A Generator of Hard 2QBF Formulas and ASP Programs.,,,"Wolfgang Faber, Francesco Ricca",,,0,0,kr,2018,,,,"A tool is presented that generates formulas/programs from the new models of random QSAT formulas in non-clausal form in a variety of output formats including (Q)DIMACS, QCIR, and ASPCore 2.0.",,,,38,0,False,3
1057,Gradual Semantics Accounting for Similarity between Arguments.,,,,,,0,0,kr,2018,,,,"This paper studies for the first time the impact of similarity (i.e., when pairs of arguments are related) in the context of gradual evaluation in abstract ar-gumentation.",,,,30,0,False,2
1058,Measuring Similarity between Logical Arguments.,,,,,,0,0,kr,2018,,,,"This paper introduces a notion of similarity measure and a set of principles that such a measure should satisfy, and proposes some intuitive extensions of measures from the literature, and shows that they fail to satisfy some of the principles.",,,,30,0,False,3
1059,Gradual Semantics for Weighted Graphs: An Unifying Approach.,,,"Markus Kuba, Alois Panholzer",,,0,0,kr,2018,,,,"The paper shows that (EMS) is one way of defining semantics that satisfy principles, and shows that some principles follow from properties of aggregation functions.",,,,7,0,False,2
1062,On the Progression of Situation Calculus Universal Theories with Constants.,,,"Denis Ponomaryov, Mikhail Soutchanski",,,0,0,kr,2018,,,,"It is proved that progression of a (possibly infinite) UTC is always first-order definable and results in a UTC, and that there exists a family of UTCs for which the size of every feasible progression grows exponentially.",,,,39,0,False,1
